project_province,knows_of_aids,radio,tv,newspaper,pamphlet,health_worker,church_s_temple,school,community_meeting,friend_s_relative,work_place,other,number_of_women
No,91.3,68.2,75.9,23,6,2.9,0.1,1.2,7,14.1,1.8,0.2,3976
Yes,89.5,68.4,76.3,20.6,4.1,2.9,0,1.4,6.3,12,1.7,0.5,1688
