residence,knows_of_aids,radio,tv,newspaper,pamphlet,health_worker,church_s_temple,school,community_meeting,friend_s_relative,work_place,other,number_of_women
Urban,97.2,76.5,91.9,50,12.4,4.5,0.4,2.7,6.5,12.9,4.3,0.5,1069
Rural,89.3,66.4,72.4,15.9,3.8,2.6,0,0.9,6.9,13.6,1.2,0.3,4595
