current_marital_status,knows_of_aids,radio,tv,newspaper,pamphlet,health_worker,church_s_temple,school,community_meeting,friend_s_relative,work_place,other,number_of_women
Currently Married,91.2,68.9,76.4,22.6,5.5,3,0.1,1.3,6.8,13.5,1.7,0.3,5340
Formerly Married,83,58.7,70.6,18.5,3.8,1.6,0,1.6,6,12.6,3.3,0.6,324
